"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
52,0.7613996,0.7468054,0.1745923,17.90837,2.082079,27.41548,4.8265,11.41799,69.57331,62.77899,40.91798,226.1824,234.5262,4486.891
53,0.7599801,0.7467222,0.1747331,17.91373,2.081313,27.42133,4.825682,11.41796,69.59351,62.78848,40.93388,226.2559,234.5049,4486.989
54,0.7586668,0.7466744,0.1748734,17.91928,2.080582,27.42684,4.824934,11.41797,69.61264,62.79779,40.94913,226.3236,234.4833,4487.047
55,0.7574599,0.7466592,0.1750119,17.92497,2.079887,27.43199,4.824274,11.41802,69.6305,62.80691,40.96368,226.3846,234.4617,4487.07
56,0.7563591,0.7466742,0.1751464,17.93075,2.079228,27.43677,4.823715,11.4181,69.6469,62.81575,40.97747,226.4384,234.4404,4487.056
57,0.7553647,0.746717,0.1752755,17.93653,2.078605,27.44117,4.823267,11.41823,69.6617,62.82427,40.99042,226.4842,234.4195,4487.011
58,0.7544761,0.7467834,0.1753977,17.94233,2.078021,27.44521,4.822941,11.4184,69.67481,62.83244,41.00256,226.522,234.3992,4486.931
59,0.7536922,0.746871,0.175512,17.94807,2.077476,27.44886,4.822742,11.41862,69.68616,62.84016,41.01386,226.5514,234.3797,4486.826
60,0.7530115,0.7469762,0.1756169,17.95371,2.076971,27.45213,4.822672,11.41889,69.69565,62.84744,41.02427,226.5724,234.3613,4486.693
61,0.7524331,0.7470959,0.1757113,17.95919,2.076507,27.45503,4.822735,11.4192,69.70326,62.85422,41.03373,226.5848,234.3441,4486.539
62,0.7519554,0.7472264,0.1757944,17.96447,2.076086,27.45758,4.822924,11.41955,69.70898,62.86045,41.04224,226.5891,234.328,4486.367
63,0.7515757,0.7473636,0.1758651,17.96952,2.07571,27.45975,4.823241,11.41994,69.7128,62.86615,41.04979,226.5853,234.3134,4486.177
64,0.7512918,0.747504,0.1759229,17.9743,2.07538,27.4616,4.823676,11.42037,69.71479,62.87121,41.05634,226.5741,234.3004,4485.975
65,0.7511009,0.7476438,0.1759671,17.97879,2.075098,27.46311,4.824225,11.42082,69.71501,62.87568,41.0619,226.5557,234.2888,4485.766
66,0.751,0.7477794,0.1759973,17.98294,2.074865,27.46431,4.824876,11.4213,69.71346,62.87953,41.06647,226.5307,234.2788,4485.551
67,0.7509848,0.7479075,0.1760131,17.98672,2.074682,27.46523,4.82562,11.42181,69.71031,62.88271,41.07,226.5,234.2706,4485.335
68,0.7510517,0.7480242,0.176014,17.99012,2.07455,27.46588,4.826445,11.42232,69.70563,62.88527,41.07248,226.464,234.2639,4485.121
69,0.7511974,0.7481263,0.176,17.99311,2.074472,27.46629,4.827337,11.42284,69.69955,62.88713,41.07394,226.4236,234.2589,4484.91
70,0.7514173,0.7482114,0.1759713,17.9957,2.074449,27.46647,4.828288,11.42337,69.69221,62.88837,41.07439,226.3796,234.2557,4484.708
71,0.7517057,0.7482758,0.1759279,17.99787,2.07448,27.46647,4.82928,11.42389,69.68375,62.88896,41.07383,226.3328,234.2538,4484.516
72,0.7520542,0.7483172,0.17587,17.9996,2.074565,27.4663,4.8303,11.42441,69.67432,62.88892,41.07229,226.284,234.2535,4484.338
73,0.7522677,0.7483332,0.1757981,17.9999,2.074601,27.46597,4.831338,11.42492,69.6641,62.88826,41.0698,226.234,234.2547,4484.173
