"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
136,0.9608065,0.9820742,0.1856599,23.5067,2.185096,35.84931,6.100366,15.29803,80.68783,90.44214,49.69752,211.4866,211.3931,4511.03
137,0.9585773,0.9840468,0.186529,23.61679,2.186105,35.91306,6.112909,15.30583,80.82368,90.51881,49.87296,211.4861,211.4646,4510.76
138,0.9562629,0.9860678,0.1873747,23.72182,2.186646,35.97688,6.125537,15.31344,80.94035,90.58984,50.04281,211.4633,211.5161,4510.513
139,0.9539697,0.9881006,0.1881769,23.81982,2.186793,36.04019,6.138136,15.32092,81.0369,90.65379,50.20406,211.4205,211.5492,4510.292
140,0.9519342,0.9901018,0.1889119,23.90965,2.186708,36.10231,6.150569,15.32825,81.11304,90.70937,50.35359,211.3605,211.5659,4510.102
141,0.950192,0.992026,0.1895593,23.98958,2.18647,36.16261,6.162711,15.33543,81.1693,90.75552,50.48872,211.2868,211.5685,4509.945
142,0.9488111,0.9938344,0.1901098,24.05933,2.186182,36.22056,6.174447,15.34239,81.20718,90.79172,50.60844,211.2033,211.5602,4509.824
143,0.9478569,0.9954932,0.1905569,24.11893,2.185949,36.27575,6.185679,15.3491,81.22857,90.81781,50.71205,211.1138,211.5434,4509.739
144,0.9473832,0.9969752,0.1908933,24.16844,2.185881,36.32789,6.196332,15.35552,81.23591,90.83372,50.79877,211.0226,211.5219,4509.692
145,0.9474297,0.9982574,0.1911184,24.2084,2.186059,36.37674,6.206342,15.36163,81.23118,90.83961,50.86873,210.9328,211.4976,4509.679
146,0.9480223,0.9993222,0.1912336,24.23957,2.186558,36.42218,6.215662,15.3674,81.21652,90.83589,50.92231,210.8474,211.4729,4509.7
147,0.9492003,1.000052,0.1912425,24.26266,2.187436,36.46188,6.223889,15.37249,81.19399,90.82298,50.9599,210.7691,211.4496,4509.751
148,0.9509577,1.000536,0.191149,24.27857,2.18874,36.49772,6.231306,15.37714,81.16561,90.80156,50.98227,210.7001,211.4294,4509.831
149,0.953267,1.000791,0.190954,24.28782,2.190499,36.53025,6.237995,15.38145,81.133,90.77203,50.98984,210.6423,211.4138,4509.934
150,0.9560806,1.000824,0.1906678,24.29146,2.192726,36.5598,6.243994,15.38544,81.09792,90.73523,50.98397,210.5973,211.4039,4510.058
151,0.9593435,1.000642,0.1902972,24.29019,2.19542,36.58657,6.249335,15.38915,81.0617,90.69186,50.96575,210.5658,211.4006,4510.199
152,0.9630507,1.00025,0.1898493,24.28468,2.19858,36.61077,6.254048,15.3926,81.02554,90.64269,50.93621,210.5484,211.4041,4510.35
