"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
67,0.5223094,2.651531,4.728657,10.88597,47.61178,75.22442,60.71106,264.1286,382.4517
68,0.5222766,2.650303,4.728728,10.8884,47.61002,75.22701,60.71148,264.1261,382.4551
69,0.5222413,2.649183,4.728755,10.89067,47.6083,75.22955,60.71168,264.1233,382.4577
70,0.5222039,2.648169,4.728745,10.89278,47.60663,75.23201,60.71169,264.1202,382.459
71,0.5221637,2.647262,4.7287,10.89473,47.60504,75.23436,60.71147,264.117,382.4595
72,0.5221216,2.646463,4.728629,10.89653,47.60353,75.23658,60.7111,264.1135,382.459
73,0.5220771,2.645771,4.728528,10.89819,47.60213,75.23866,60.71055,264.1099,382.4576
74,0.5220303,2.645185,4.728409,10.89972,47.60083,75.24058,60.70984,264.1061,382.4555
75,0.5219813,2.644704,4.728272,10.90114,47.59964,75.24232,60.709,264.1023,382.4525
76,0.5219302,2.644325,4.728122,10.90244,47.59856,75.24389,60.70805,264.0984,382.449
77,0.5218769,2.644046,4.727962,10.90366,47.59759,75.24525,60.70699,264.0946,382.4447
78,0.5218219,2.643867,4.727796,10.90479,47.5967,75.24644,60.70586,264.0907,382.4399
79,0.5217646,2.643782,4.727623,10.90585,47.5959,75.24741,60.70465,264.0869,382.4348
80,0.5217056,2.643789,4.72745,10.90685,47.59516,75.24821,60.70341,264.0832,382.4292
81,0.5216448,2.643885,4.727276,10.90778,47.59447,75.24882,60.70214,264.0794,382.4233
82,0.5215824,2.644068,4.727105,10.90868,47.59384,75.24923,60.70083,264.0757,382.4172
83,0.5215185,2.644333,4.726938,10.90952,47.59322,75.24947,60.69956,264.0721,382.4108
84,0.521453,2.644676,4.726776,10.91033,47.59261,75.24957,60.69829,264.0684,382.4046
85,0.5213863,2.645095,4.726618,10.9111,47.59201,75.2495,60.69705,264.065,382.3984
86,0.5213184,2.645584,4.726467,10.91184,47.59138,75.24927,60.69587,264.0615,382.3921
87,0.5212494,2.646142,4.726323,10.91252,47.59071,75.24895,60.69473,264.0582,382.386
88,0.5211794,2.646764,4.726186,10.91318,47.58999,75.24852,60.69365,264.0549,382.3799
89,0.5211087,2.647444,4.726055,10.91379,47.58923,75.24799,60.69266,264.0517,382.3742
90,0.5210374,2.648181,4.725929,10.91435,47.5884,75.24742,60.69173,264.0485,382.3687
91,0.5209655,2.64897,4.72581,10.91486,47.5875,75.24677,60.69091,264.0454,382.3636
92,0.520893,2.649808,4.725696,10.91532,47.58653,75.24609,60.69017,264.0424,382.3589
93,0.5208204,2.65069,4.725586,10.91572,47.58549,75.24537,60.68951,264.0394,382.3542
94,0.5207473,2.651611,4.72548,10.91605,47.58438,75.24467,60.68896,264.0366,382.3502
95,0.5206743,2.65257,4.725377,10.91632,47.5832,75.24397,60.68846,264.0338,382.3464
96,0.5206012,2.653561,4.725276,10.91652,47.58194,75.24328,60.68806,264.0311,382.343
97,0.5205285,2.654581,4.725175,10.91664,47.58065,75.24263,60.68777,264.0285,382.3401
98,0.5204557,2.655627,4.725077,10.91669,47.57932,75.24203,60.68751,264.026,382.3375
99,0.5203833,2.656693,4.724976,10.91665,47.57794,75.24147,60.68734,264.0236,382.3354
100,0.5203113,2.657778,4.724877,10.91654,47.57655,75.24098,60.68726,264.0213,382.3335
101,0.5202401,2.658876,4.724776,10.91635,47.57516,75.24056,60.68722,264.0192,382.332
102,0.5201693,2.659983,4.724672,10.91607,47.57375,75.24022,60.68723,264.0171,382.3307
103,0.520099,2.661098,4.724569,10.91571,47.57237,75.23994,60.68728,264.0152,382.3299
104,0.5200297,2.662215,4.724461,10.91527,47.57104,75.23971,60.68737,264.0134,382.3293
105,0.5199611,2.663331,4.724354,10.91474,47.56974,75.23959,60.68749,264.0117,382.3289
106,0.5198935,2.664443,4.724245,10.91415,47.56851,75.23952,60.68763,264.0102,382.3286
107,0.5198271,2.665547,4.724136,10.91348,47.56736,75.23954,60.68778,264.0089,382.3286
108,0.5197614,2.66664,4.724025,10.91274,47.56628,75.23962,60.68795,264.0076,382.3288
109,0.519697,2.667718,4.723912,10.91193,47.56532,75.23975,60.6881,264.0066,382.3291
110,0.5196336,2.66878,4.723803,10.91107,47.56446,75.23992,60.68826,264.0056,382.3294
